FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,French Guiana,France,2021-07-28 04:21:39,4.0,-53.0,29686,177,9995,19514,"French Guiana, France",9938.998667479123,0.596240652159267
,,French Polynesia,France,2021-07-28 04:21:39,-17.6797,-149.4068,19494,147,18989,358,"French Polynesia, France",6939.737419189474,0.7540781779008926
,,Guadeloupe,France,2021-07-28 04:21:39,16.265,-61.551,18313,280,2250,15783,"Guadeloupe, France",4576.79686699473,1.5289684923278546
,,Martinique,France,2021-07-28 04:21:39,14.6415,-61.0242,17215,104,104,17007,"Martinique, France",4587.424886413601,0.6041243101945978
,,Mayotte,France,2021-07-28 04:21:39,-12.8275,45.166244,19474,174,2964,16336,"Mayotte, France",7138.222885273061,0.8934990243401458
,,New Caledonia,France,2021-07-28 04:21:39,-20.904305,165.618042,133,0,58,75,"New Caledonia, France",46.58640727728721,0.0
,,Reunion,France,2021-07-28 04:21:39,-21.1151,55.5364,34615,266,33894,455,"Reunion, France",3866.267251046567,0.7684529828109201
,,Saint Barthelemy,France,2021-07-28 04:21:39,17.9,-62.8333,1005,1,462,542,"Saint Barthelemy, France",10166.919575113809,0.09950248756218906
,,Saint Pierre and Miquelon,France,2021-07-28 04:21:39,46.8852,-56.3159,28,0,26,2,"Saint Pierre and Miquelon, France",483.17515099223465,0.0
,,St Martin,France,2021-07-28 04:21:39,18.0708,-63.0501,2481,38,1399,1044,"St Martin, France",6417.65177578313,1.5316404675534059
,,Wallis and Futuna,France,2021-07-28 04:21:39,-14.2938,-178.1165,445,7,438,0,"Wallis and Futuna, France",2910.5893125776697,1.5730337078651686
,,,France,2021-07-28 04:21:39,46.2276,2.2137,5946041,110689,342647,5494413,France,9109.189651079292,1.861557967730125
